                 
                                          Shutdown Summary



     Total shutdown events (3 yrs): 62
     Total downtime: 5146.00 hours


                       start                 end  duration_hours
event_id                                                        
2        2017-03-22 12:00:00 2017-03-22 12:45:00        0.750000
4        2017-03-22 15:55:00 2017-03-22 17:00:00        1.083333
6        2017-04-06 08:40:00 2017-04-06 08:50:00        0.166667
8        2017-04-06 10:00:00 2017-04-06 10:50:00        0.833333
10       2017-05-19 21:40:00 2017-05-20 13:05:00       15.416667
12       2017-05-20 15:25:00 2017-05-29 22:00:00      222.583333
14       2017-09-20 01:00:00 2017-09-21 11:40:00       34.666667
16       2017-09-21 11:55:00 2017-09-22 12:00:00       24.083333
18       2017-09-22 12:30:00 2017-10-03 09:55:00      261.416667
20       2017-10-05 14:50:00 2017-10-06 04:25:00       13.583333
